"id","season","driver_id","position","points","wins"
1,2022,1,1,"429",15
2,2022,2,2,"296",2
3,2022,4,3,"290",3
4,2022,5,4,"260",1
5,2022,3,5,"234",1
6,2022,7,6,"230",0
7,2022,6,7,"116",0
8,2022,17,8,"92",0
9,2022,9,9,"81",0
10,2022,19,10,"49",0
11,2022,13,11,"37",0
12,2022,12,12,"25",0
13,2022,18,13,"19",0
14,2022,10,14,"18",0
15,2022,27,15,"12",0
16,2022,14,16,"12",0
17,2022,11,17,"5",0
18,2022,15,18,"4",0
19,2022,28,19,"2",0
20,2022,16,20,"0",0
21,2023,1,1,"541",19
22,2023,2,2,"263",2
23,2023,7,3,"230",0
24,2023,6,4,"193",0
25,2023,9,5,"192",0
26,2023,4,6,"188",0
27,2023,3,7,"186",1
28,2023,5,8,"168",0
29,2023,8,9,"97",0
30,2023,10,10,"67",0
31,2023,18,11,"61",0
32,2023,17,12,"56",0
33,2023,15,13,"27",0
34,2023,14,14,"17",0
35,2023,19,15,"10",0
36,2023,13,16,"6",0
37,2023,16,17,"6",0
38,2023,11,18,"6",0
39,2023,12,19,"3",0
40,2023,20,20,"1",0
41,2023,29,21,"0",0
42,2024,1,1,"437",9
43,2024,6,2,"374",4
44,2024,4,3,"356",3
45,2024,8,4,"292",2
46,2024,3,5,"290",2
47,2024,5,6,"245",2
48,2024,7,7,"223",2
49,2024,2,8,"152",0
50,2024,9,9,"70",0
51,2024,18,10,"42",0
52,2024,16,11,"41",0
53,2024,14,12,"30",0
54,2024,10,13,"24",0
55,2024,17,14,"23",0
56,2024,12,15,"16",0
57,2024,13,16,"12",0
58,2024,15,17,"12",0
59,2024,11,18,"4",0
60,2024,20,19,"0",0
61,2024,19,20,"0",0
62,2025,6,1,"357",6
63,2025,8,2,"356",7
64,2025,1,3,"321",5
65,2025,5,4,"258",2
66,2025,4,5,"210",0
67,2025,7,6,"146",0
68,2025,21,7,"97",0
69,2025,15,8,"73",0
70,2025,16,9,"41",0
71,2025,26,10,"39",0
72,2025,3,11,"38",0
73,2025,9,12,"37",0
74,2025,10,13,"32",0
75,2025,22,14,"32",0
76,2025,17,15,"30",0
77,2025,23,16,"30",0
78,2025,14,17,"28",0
79,2025,18,18,"20",0
80,2025,24,19,"19",0
81,2025,25,20,"0",0
