"id","race_id","driver_id","team_id","position","q1_time","q2_time","q3_time"
1,1,1,1,1,"0 days 00:01:30.031000","0 days 00:01:29.374000","0 days 00:01:29.179000"
2,1,4,2,2,"0 days 00:01:30.243000","0 days 00:01:29.165000","0 days 00:01:29.407000"
3,1,5,3,3,"0 days 00:01:30.350000","0 days 00:01:29.922000","0 days 00:01:29.485000"
4,1,3,2,4,"0 days 00:01:29.909000","0 days 00:01:29.573000","0 days 00:01:29.507000"
5,1,2,1,5,"0 days 00:01:30.221000","0 days 00:01:29.932000","0 days 00:01:29.537000"
6,1,9,5,6,"0 days 00:01:30.179000","0 days 00:01:29.801000","0 days 00:01:29.542000"
7,1,6,4,7,"0 days 00:01:30.143000","0 days 00:01:29.941000","0 days 00:01:29.614000"
8,1,8,4,8,"0 days 00:01:30.531000","0 days 00:01:30.122000","0 days 00:01:29.683000"
9,1,7,3,9,"0 days 00:01:30.451000","0 days 00:01:29.718000","0 days 00:01:29.710000"
10,1,16,7,10,"0 days 00:01:30.566000","0 days 00:01:29.851000","0 days 00:01:30.502000"
11,1,14,8,11,"0 days 00:01:30.481000","0 days 00:01:30.129000","NaT"
12,1,10,5,12,"0 days 00:01:29.965000","0 days 00:01:30.200000","NaT"
13,1,15,9,13,"0 days 00:01:30.397000","0 days 00:01:30.221000","NaT"
14,1,13,8,14,"0 days 00:01:30.562000","0 days 00:01:30.278000","NaT"
15,1,12,7,15,"0 days 00:01:30.646000","0 days 00:01:30.529000","NaT"
16,1,19,6,16,"0 days 00:01:30.756000","NaT","NaT"
17,1,11,6,17,"0 days 00:01:30.757000","NaT","NaT"
18,1,20,9,18,"0 days 00:01:30.770000","NaT","NaT"
19,1,17,10,19,"0 days 00:01:30.793000","NaT","NaT"
20,1,18,10,20,"0 days 00:01:30.948000","NaT","NaT"
21,2,1,1,1,"0 days 00:01:28.171000","0 days 00:01:28.033000","0 days 00:01:27.472000"
22,2,4,2,2,"0 days 00:01:28.318000","0 days 00:01:28.112000","0 days 00:01:27.791000"
23,2,2,1,3,"0 days 00:01:28.638000","0 days 00:01:28.467000","0 days 00:01:27.807000"
24,2,9,5,4,"0 days 00:01:28.706000","0 days 00:01:28.122000","0 days 00:01:27.846000"
25,2,8,4,5,"0 days 00:01:28.755000","0 days 00:01:28.343000","0 days 00:01:28.089000"
26,2,6,4,6,"0 days 00:01:28.805000","0 days 00:01:28.479000","0 days 00:01:28.132000"
27,2,5,3,7,"0 days 00:01:28.749000","0 days 00:01:28.448000","0 days 00:01:28.316000"
28,2,7,3,8,"0 days 00:01:28.994000","0 days 00:01:28.606000","0 days 00:01:28.460000"
29,2,14,8,9,"0 days 00:01:28.988000","0 days 00:01:28.564000","0 days 00:01:28.547000"
30,2,10,5,10,"0 days 00:01:28.250000","0 days 00:01:28.578000","0 days 00:01:28.572000"
31,2,15,9,12,"0 days 00:01:29.107000","0 days 00:01:28.980000","NaT"
32,2,12,7,13,"0 days 00:01:29.069000","0 days 00:01:29.020000","NaT"
33,2,13,8,14,"0 days 00:01:29.065000","0 days 00:01:29.025000","NaT"
34,2,16,7,15,"0 days 00:01:29.055000","NaT","NaT"
35,2,19,6,16,"0 days 00:01:29.179000","NaT","NaT"
