"id","race_id","driver_id","team_id","position","grid_position","points","laps_completed","race_time","fastest_lap","fastest_lap_rank","status","is_sprint"
1,1,1,1,1,1,"26",57,"1:31:44.742","1:32.608",1,"Finished",False
2,1,2,1,2,5,"18",57,"+22.457","1:34.364",4,"Finished",False
3,1,3,2,3,4,"15",57,"+25.110","1:34.507",6,"Finished",False
4,1,4,2,4,2,"12",57,"+39.669","1:34.090",2,"Finished",False
5,1,5,3,5,3,"10",57,"+46.788","1:35.065",12,"Finished",False
6,1,6,4,6,7,"8",57,"+48.458","1:34.476",5,"Finished",False
7,1,7,3,7,9,"6",57,"+50.324","1:34.722",7,"Finished",False
8,1,8,4,8,8,"4",57,"+56.082","1:34.774",9,"Finished",False
9,1,9,5,9,6,"2",57,"+74.887","1:34.199",3,"Finished",False
10,1,10,5,10,12,"1",57,"+93.216","1:35.632",16,"Finished",False
11,1,11,6,11,17,"0",56,"+6.759","1:35.458",14,"Lapped",False
12,1,12,7,12,15,"0",56,"+8.316","1:35.570",15,"Lapped",False
13,1,13,8,13,14,"0",56,"+8.958","1:35.163",13,"Lapped",False
14,1,14,8,14,11,"0",56,"+9.482","1:35.833",18,"Lapped",False
15,1,15,9,15,13,"0",56,"+11.886","1:35.723",17,"Lapped",False
16,1,16,7,16,10,"0",56,"+17.632","1:34.834",11,"Lapped",False
17,1,17,10,17,19,"0",56,"+31.450","1:36.226",20,"Lapped",False
18,1,18,10,18,20,"0",56,"+32.417","1:34.805",10,"Lapped",False
19,1,19,6,19,16,"0",56,"+83.230","1:36.202",19,"Lapped",False
20,1,20,9,20,18,"0",55,"+20.795","1:34.735",8,"Lapped",False
21,2,1,1,1,1,"25",50,"1:20:43.273","1:31.773",3,"Finished",False
22,2,2,1,2,3,"18",50,"+13.643","1:32.273",8,"Finished",False
23,2,4,2,3,2,"16",50,"+18.639","1:31.632",1,"Finished",False
24,2,8,4,4,5,"12",50,"+32.007","1:32.310",10,"Finished",False
25,2,9,5,5,4,"10",50,"+35.759","1:32.387",13,"Finished",False
