"id","season","round_number","race_name","circuit_name","circuit_location","country","circuit_length","laps","circuit_type","circuit_map_url","country_flag_url","race_date","race_time","fp1_date","fp1_time","fp2_date","fp2_time","fp3_date","fp3_time","qualifying_date","qualifying_time","has_sprint","sprint_date","sprint_time","is_completed"
1,2024,1,"Bahrain Grand Prix","FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024","Sakhir","Bahrain",NULL,NULL,NULL,NULL,NULL,"2024-03-02",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1
2,2024,2,"Saudi Arabian Grand Prix","FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024","Jeddah","Saudi Arabia",NULL,NULL,NULL,NULL,NULL,"2024-03-09",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1
3,2024,3,"Australian Grand Prix","FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024","Melbourne","Australia",NULL,NULL,NULL,NULL,NULL,"2024-03-24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1
4,2024,4,"Japanese Grand Prix","FORMULA 1 MSC CRUISES JAPANESE GRAND PRIX 2024","Suzuka","Japan",NULL,NULL,NULL,NULL,NULL,"2024-04-07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1
5,2024,5,"Chinese Grand Prix","FORMULA 1 LENOVO CHINESE GRAND PRIX 2024","Shanghai","China",NULL,NULL,NULL,NULL,NULL,"2024-04-21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1
6,2024,6,"Miami Grand Prix","FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2024","Miami","United States",NULL,NULL,NULL,NULL,NULL,"2024-05-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1
7,2024,7,"Emilia Romagna Grand Prix","FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024","Imola","Italy",NULL,NULL,NULL,NULL,NULL,"2024-05-19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1
8,2024,8,"Monaco Grand Prix","FORMULA 1 GRAND PRIX DE MONACO 2024","Monaco","Monaco",NULL,NULL,NULL,NULL,NULL,"2024-05-26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1
9,2024,9,"Canadian Grand Prix","FORMULA 1 AWS GRAND PRIX DU CANADA 2024","Montréal","Canada",NULL,NULL,NULL,NULL,NULL,"2024-06-09",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1
10,2024,10,"Spanish Grand Prix","FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2024","Barcelona","Spain",NULL,NULL,NULL,NULL,NULL,"2024-06-23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1
11,2024,11,"Austrian Grand Prix","FORMULA 1 QATAR AIRWAYS AUSTRIAN GRAND PRIX 2024","Spielberg","Austria",NULL,NULL,NULL,NULL,NULL,"2024-06-30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1
12,2024,12,"British Grand Prix","FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024","Silverstone","United Kingdom",NULL,NULL,NULL,NULL,NULL,"2024-07-07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1
13,2024,13,"Hungarian Grand Prix","FORMULA 1 HUNGARIAN GRAND PRIX 2024","Budapest","Hungary",NULL,NULL,NULL,NULL,NULL,"2024-07-21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1
14,2024,14,"Belgian Grand Prix","FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024","Spa-Francorchamps","Belgium",NULL,NULL,NULL,NULL,NULL,"2024-07-28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1
